text,crowd_label,conf0,conf1,conf2,itemID
Audi is the first carmaker to get a license from Nevada DMV to test automated vehicles. #audi #ces #cartech,2,0.0,0.0,1.0,1
Audi says first car manufacturer in the world to get a license from Nevada DMV to test autonomous vehicles (Google doesn't make cars) #CES,2,0.12969999999999998,0.12969999999999998,0.7406,2
"Audi is test driving their driverless car in Tampa today, pretty cool.",1,0.13240000000000002,0.7352,0.13240000000000002,3
Audi to be first automaker in California to test self-driving car. mention mention  #Selfdrivingcars  url @,2,0.0,0.0,1.0,4
IaAOmention Audi gets first permit to test self-driving cars on California roads: url url IueIa_IueIa,2,0.0,0.0,1.0,5
Audi Gets Permit to Test Self-Driving Cars in California url,2,0.0,0.0,1.0,6
"Google, Audi, Mercedes get California's first self-driving car test permits: Cars without drivers may soon be... url",2,0.10970000000000002,0.10970000000000002,0.7806,7
Audi Gets First Permit to Test Driverless Cars in California: Some Bay Area drag queens say they are... url,2,0.0,0.0,1.0,8
"Today state regs for autonomous cars go into effect: Audi of America gets 1st permit to test driverless cars on public roads, per mention",2,0.0,0.0,1.0,9
Audi gets first permit to test self-driving cars in California: Think twice next time you tailgate that new Audi... url,2,0.0,0.0,1.0,10
Audi Gets First Permit to Test Driverless Cars in California: Some Bay Area drag queens say they are... url,2,0.0,0.0,1.0,11
Audi Gets Permit to Test Self-Driving Cars in California url,2,0.0,0.0,1.0,12
IaAOAudi becomes first automaker given permit to test self-driving cars. url url mention,2,0.0,0.0,1.0,13
Audi Snags First Permit To Test Self-Driving Cars In California: LOS ANGELES (CBS/AP) IaAU Audi is the first... url,2,0.0,0.0,1.0,14
AGV (Automated Guided Vehicle)  @ TraPac Dock url,2,0.12555,0.12555,0.7489,15
AGV (Automated Guided Vehicle)  @ TraPac Dock url,2,0.14639999999999995,0.14639999999999995,0.7072,16
AGV (Automated Guided Vehicle) @ TraPac Dock url,2,0.0,0.0,1.0,17
At the SAE On-Road Automated Vehicle Standards Committee Open Meeting,2,0.0,0.0,1.0,18
"Transportation becoming a service model? If OEMs are responsible for automated vehicle control, they might as well own it #AutoAuto",2,0.13755,0.13755,0.7249,19
Automated vehicle vs connected vehicle #MITTRSummit url,2,0.0,0.0,1.0,20
WO2013070799A1 Automated Vehicle Conveyance Apparatus Transportation System #B61B #B61B13 url,2,0.1174,0.1174,0.7652,21
How is an automated vehicle supposed to behave in an emergency? #AutoAuto,2,0.1256,0.1256,0.7488,22
"#ExperienceBosch My first ride on the automated vehicle is so surreal. Staring at the analysis, weIaAa_ url",2,0.11755,0.11755,0.7649,23
