,text,crowd_label,conf0,conf1,itemID
0,"RT mention To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. ChriU_",0,1.0,0.0,4390
1,9 gifted politicians. One broken party. And Trump. mention url via mention #GOPDebate,0,1.0,0.0,1
2,RT mention TRIVIA:  Who is the only candidate to have proposed cutting spending by a TRILLION dollars during his first year as PrU_,0,0.6493,0.3507,2
3,RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0,3
4,RT mention #GOPDebate rivaled a grand production of a Ringling Brothers & Barnum & Bailey circus with 10 mudslinging elephants on paU_,0,1.0,0.0,4
5,I bet Jeb Bush gets really good weed. Just sayin. mention #GOPDebate #GOPDebate2016 #GOPDebates #PresidentialDebate,0,0.7108,0.2892,5
6,RT mention Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates,0,0.66,0.34,6
7,Rubio thinks the Republican Party is BFFs with God and the Democrats can just suck it as God hates them.  #GOPDebates,0,1.0,0.0,7
8,mention yep mention sucked at #GOPDebate  mention  country is in a mess & debate questions Terrible,0,0.6667,0.33330000000000004,9
9,"RT mention ""Way to not answer the question""

-my dad at the TV all night #GOPdebates",0,0.6628,0.3372000000000001,10
10,Watch the debates nope better things to do watching paint dry #GOPDebate,0,1.0,0.0,11
11,"RT mention UImention democrats watching the #GOPDebate url mention love unborn, it's after birth they starve tU_",0,0.6809,0.31910000000000005,14
12,Trump doesn't answer questions he just shits out a semi coherent sentence with a bunch of charged words thrown in there #GOPDebate,0,1.0,0.0,15
13,"Ted, look at history: that was a deal to bolster Reagan! #GOPDebate #GOPDebates",0,1.0,0.0,16
14,RT mention Donald Trump wants to build The Great Wall of China (in America). Fully equipped with a door.  #GOPDebate,0,1.0,0.0,19
15,#GOPDEBATES Still nothing about the VA.  I guess their all scared to talk about the dead!,0,1.0,0.0,20
16,Are they trying to knock out Paul and Trump by asking them all of the questions? #GOPDebates many are getting ignored,0,1.0,0.0,21
17,RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0,22
18,RT mention UII french-kissed Jesus Christ!U - Every candidate #GOPDebate,0,0.6418,0.3582,23
19,Just watched a clip of mention trying to bully mention got his rear handed to him. #GOPDebate,0,0.6556,0.34440000000000004,25
20,Just woke up and I'm wondering: was the #GOPDebate real? Or the most horrifying nightmare I've ever had?,0,1.0,0.0,26
21,RT mention Tonight we learned that mention thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates,0,1.0,0.0,28
22,Dems are terrified b/c they know a conservative will b next president & they won't be able to dismember babies & sell body parts. #GOPDebate,0,1.0,0.0,30
23,#HillaryClinton spent #GOPDebate night with the #Kardashians: url url,0,1.0,0.0,32
24,"RT mention Carson: ""I'm the only one to separate Siamese twins."" Kinda hard to outdo that. #GOPDebate",0,0.6593,0.3407,33
25,"RT mention ""Maybe if I just keep bringing up immigration they won't notice my hairs not real"" - Donald Trumphs inner monologue #GOPU_",0,0.6462,0.3538,35
26,"RT mention Rand Paul, I'm a different kind of republican... yes, you are an sos pad dickhead. #Gopdebates",0,1.0,0.0,36
27,RT mention We the American people pick the next President of United States not FOX News _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0,37
28,Jeb Bush performed like a wet sack of mashed potatoes. REALLY EXCITING STUFF DUDE. #GOPDebate,0,1.0,0.0,38
29,"Huckabee wants to improve our economy by taxing, ""pimps and prostitutes who are freeloaders."" 

We're in trouble, America. #GOPDebates",0,1.0,0.0,41
30,RT mention werenUat barbaric white men UIillegalsU when they came here to steal from the natives? #GOPDebate,0,0.6548,0.34519999999999995,42
31,You know who mention was giving hugs to? THE FAMILIES OF PEARL HARBOR VICTIMS #GOPDebate,0,0.6824,0.3176,43
32,"RT mention mention mention mention
FOX/GOP Party's Hunger Games- Demagog Food-fighter mention
#GOPDebate url",0,0.6842,0.3158,44
33,"I'm waiting for the next one where mention will be at the kids' table.  Pretty sure he's Republican, ya? #JonVoyage #GOPDebate",0,0.6449,0.3551,45
34,Fox seems to be doing a hit job for GOP on mention #gopdebates,0,0.6667,0.33330000000000004,46
35,mention The best part of the debate last night? The legs behind Bret Baier's head. #TrueStory #GOPDebate url,0,0.6898,0.31020000000000003,47
36,Did they... did they just say God would be there after the break? #GOPDebates,0,0.6632,0.3368,49
37,"ONE ""race"" question. LOLOLOLOL #GOPdebates",0,0.6503,0.3497,51
38,"RT mention IT IS OVER!!!!  Doubt I""ll be able to take many more  #GOPDebates.  Not enough popcorn in the universe!  Onto the #DailyShowU_",0,1.0,0.0,53
39,RT mention Paging the Donald: you can't beat Jamaica in soccer either #GOPDebates,0,0.6824,0.3176,54
40,"RT mention ""Oh Donald, again with your angry misogyny. You are just incorrigible. Now tell us more about Trump Wall."" -- #GOPDebate",0,1.0,0.0,55
41,RT mention Ya'll  want to look into the criminal activity of planned parenthood and not the police force??? Ok #GOPDebate,0,1.0,0.0,56
42,RT mention S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate,0,1.0,0.0,57
43,"RT mention .mention once again showed lack of tact and respect during #GOPDebate. He's not a politician, but he certainly isn'U_",0,1.0,0.0,58
