text,crowd_label,conf0,conf1,conf2,itemID
RT mention How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,2,0.17109999999999995,0.17109999999999995,0.6578,1
RT mention Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 url,1,0.18335,0.6333,0.18335,2
RT mention No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,2,0.16854999999999998,0.16854999999999998,0.6629,3
RT mention That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on U_,1,0.0,1.0,0.0,4
RT mention #GOPDebate w/ mention delivered the highest ratings in the history of presidential debates. #Trump2016 url,1,0.14775,0.7045,0.14775,5
"RT mention mention ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate mention",1,0.1834,0.6332,0.1834,6
RT mention I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate mention  url,0,0.6761,0.16194999999999998,0.16194999999999998,7
Going on #MSNBC Live with mention around 2 PM ET.  #GOPDebate,2,0.0,0.0,1.0,8
"Deer in the headlights RT mention Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",0,0.6889,0.15555000000000002,0.15555000000000002,9
RT mention Last night's debate proved it! #GOPDebate #BATsAsk mention #TBATs  url,0,0.6778,0.16110000000000002,0.16110000000000002,10
mention mention In all fairness #BillClinton owns that phrase.#GOPDebate,0,1.0,0.0,0.0,11
"RT mention Just woke up to tweet this out #GOPDebate 

Best line of the night via mention url",1,0.0,1.0,0.0,12
Me reading my family's comments about how great the #GOPDebate was url,0,0.6957,0.15215,0.15215,13
"RT mention RT mention ""Dear mention #GOPDebate #NotAMistake url",2,0.17895,0.17895,0.6421,14
RT mention I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,1,0.0,1.0,0.0,15
Hey mention exploiting the tragedy of 9/11 for your own political gain is mention thing #GOPDebate,0,1.0,0.0,0.0,16
RT mention #DonaldTrump under fire for comments about women mention mention mention mention weigh in on #GOPdebate url,0,0.6264,0.1868,0.1868,17
RT mention Guess who had most speaking time at the #GOPDebate. mention moderators with 31.7% of time. url,0,0.6629,0.16854999999999998,0.16854999999999998,18
reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,0,1.0,0.0,0.0,19
"RT mention Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",0,0.6669,0.16654999999999998,0.16654999999999998,20
"RT mention Cruz has class & truth, that gets my vote! #GOPDebate",1,0.0,1.0,0.0,21
RT mention No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,0,1.0,0.0,0.0,22
RT mention #GOPDebate (Vine by mention url,2,0.16495,0.16495,0.6701,23
RT mention Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate url,0,0.6989,0.15055000000000002,0.15055000000000002,24
"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",0,1.0,0.0,0.0,25
RT mention Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress url #GOPDebate mention,0,1.0,0.0,0.0,26
RT mention RT UImention #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. url,0,1.0,0.0,0.0,27
RT mention Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to U_,0,0.6458,0.17709999999999998,0.17709999999999998,28
