,text,crowd_label,conf0,conf1,itemID
0,"RT mention .mention said heUad love his daughters if they were gay, but his voting record says otherwise #GOPDebate url",0,0.6731,0.3269,2182
1,"Topics left out of #GOPDebate: 3.) Despite its centrality to so many important issues, economic inequality was not mentioned once. #GOPTBT",0,1.0,0.0,2995
2,RT mention F**K mention and those who would actually abandon their conservative values in support of his ridiculous candidaU_,0,0.6264,0.3736,5101
3,Most depressing thing about #GOPDebate is that there will be no Jon Stewart on mention to make us laugh through the tears #JonVoyage,0,0.6458,0.3542,463
4,RT mention I'm really really really pissed off at FOX News for what they did to mention #GOPDebate  #GOPDebates _Ua14_Uau,0,1.0,0.0,1588
5,mention It wasn't a debate.It was an effort to bring mention down. I see why he would not pledge #GOPDebate shame on mention,0,0.6691,0.3309,3040
6,Definitely in need of a new tax system. #GOPDebates,0,1.0,0.0,2449
7,RT mention I need to order another green apple martini to process what the hell just happened. _Ua14_Uau #GOPDebate  #GOPDebates,0,0.6708,0.32920000000000005,716
8,I wonder if the 14 people in the audience were just on their way out from the Don Henley concert and stuck around.  #GOPDebate,0,1.0,0.0,4939
9,Only in America could Trump be a serious contender to lead the country #GOPDebate,0,1.0,0.0,998
10,"RT mention Wow, everybody's tweeting about mention mention bad treatment of mention and #GOPDebates!  Agreed!",0,0.643,0.35700000000000004,1319
11,Jeb Bush underperforms at the #GOPDebate,0,0.6813,0.3187,2153
12,Well that's unfortunate. #GOPdebates  url,0,1.0,0.0,1143
13,Zero questions on deflategate. #GOPdebates,0,1.0,0.0,3921
14,RT mention Huckabee. #GOPDebates url,0,0.6629,0.3371,129
15,RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0,22
16,RT mention 67 honorary degrees Ben Carson has and still has no brain! #Republicandebate #GOPDebate,0,0.6409999999999999,0.3590000000000001,1990
17,"RT mention But mention supporters are saying he was treated ""unfairly?"" Yea... Right. #GOPDebate url",0,0.6296,0.3704,2341
18,"""Mr.Trump, you've called women fat pigs, dogs, slobs, and disgusting animals...""
""Only Rosie O'Donnell.""
*laughter, applause*
#GOPDebate",0,0.6512,0.3488,2454
19,RT mention Fox News is obviously trying to influence the makeup of the Republican field. _Ua14_Uau  #GOPDebate  #GOPDebates,0,0.6778,0.32220000000000004,398
20,RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0,357
21,Who needs coffee in the morning to get fired up when you can just talk to your co-workers about the #GOPDebate?,0,0.6649,0.33509999999999995,3592
22,RT mention Fox is cherry picking the candidates. Jeb gets the softball questions. _Ua14_Uau #GOPDebates  #GOPDebates,0,1.0,0.0,3543
23,"RT mention ""I bribed politicians and it worked! And that's why you should vote for me."" - Trump #GOPdebate",0,1.0,0.0,800
24,"RT mention 10 straight, wealthy, men suddenly the authority on LGBT, affordable h/care + women's reproductive rights

#GOPDebate U_",0,0.6667,0.33330000000000004,5238
25,"JonathanFarrel7: JonathanFarrel7: luciabrawley: What is the Christian litmus test? Let's refer to the Constitution, shall we? #GOPDebates #U_",0,1.0,0.0,1863
26,RT mention Santorum just compared #SCOTUS's marriage ruling to Dred Scott. Here's why that analogy is nonsense: url,0,1.0,0.0,3098
27,"Trump to America: ""you suck""  #GOPDebate",0,0.6553,0.3447,1994
28,"RT mention Disappointed that #Trump didn't talk about his #craftbeer called, F**k Your Hair? url #gopdebate url",0,0.6304,0.3696,6172
29,RT mention This is a complete _U_ with plenty clowns. #GOPDebate,0,1.0,0.0,5935
30,"RT mention I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? _Ua14_Uau #GOPDebates  #GOPDebate",0,0.7105,0.2895,1318
31,"RT mention GOD IS A WOMAN, AND SHE'S PISSED. #GOPDebate",0,1.0,0.0,2440
32,RT mention Bummed that we didn't get to watch a single candidate flounder over climate change #GOPDebate,0,0.6548,0.34519999999999995,3584
33,Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny look #GOPDebate,0,1.0,0.0,553
34,RT mention I need to order another green apple martini to process what the hell just happened. _Ua14_Uau #GOPDebate  #GOPDebates,0,0.6526,0.34740000000000004,4267
35,.mention Saw his shadow at #GOPDebate so he'll be with us for another six weeks.,0,1.0,0.0,3436
36,"RT mention When I think of wall, I think of communism. I don't think Saint Ronald Reagan would like this. #GOPDebate url",0,0.6126,0.3874,4037
37,>mention has now spent more time attacking mention on Twitter than he spent on any #GOPdebate subject. url,0,1.0,0.0,5974
38,"RT mention I hate #FoxNews as much as the next sane person, but I'll give it to them, they don't like Trump and aren't afraid to U_",0,1.0,0.0,5595
39,"RT mention UImention Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #U_",0,1.0,0.0,4608
40,RT mention .mention asks good question on track record of #pro-abortion position mention Answer: obfuscation from #TrU_,0,0.6344,0.3656,5712
41,RT mention The candidates don't have to attack mention Fox is doing it for them by stoping him from speaking. _Ua14_Uau #GOPDebateU_,0,0.6404,0.35960000000000003,308
42,"someone should've told mention that he'd be on camera while in his cat fight with mention last night, not a good look #GOPDebate",0,1.0,0.0,2422
43,RT mention #GOPdebate Perry wants war! #IranDeal #Hillary2016 #UniteBlue #PDMFNB #p2 url,0,0.6705,0.3295,207
44,"RT mention I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, _Ua14_Uau #GOPDebate  #GU_",0,0.6818,0.31820000000000004,5713
45,RT mention Ted Cruz is going to personally take away your telescope and try you as a witch. #GOPDebate,0,1.0,0.0,1215
46,Finally had the opportunity to watch the #GOPDebate and I was honestly speechless...,0,1.0,0.0,6046
47,#GOPDebate  #DonaldTrump PC Police attacks > Actual Police attacks,0,0.6577,0.34230000000000005,2565
48,"RT mention I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates",0,1.0,0.0,3947
49,Why does the media call Carly Fiorina the only female GOP candidate? Do the Democrats have more than one? Or anyone not white? #GOPDebate,0,1.0,0.0,4923
50,Wondering if I could get the Republican Party to pay for my liver transplant after playing mention #GOPDebate drinking game last night.,0,0.6211,0.3789,2319
51,"RT mention I should never be able to tell from a debate who the moderators don't support. mention really blew that yesterday.
#GU_",0,1.0,0.0,3856
52,RT mention Disappointed. mention was my media #girlcrush &after #GOPDebate think #WeAreOnABreak mention mention  httU_,0,1.0,0.0,790
53,"#Rubio, #Kasich & #Fiorina Rise, While the #Trump Show Tanks. And Fox surprises everyone w/ substantial #GOPDebate. url",0,0.6667,0.33330000000000004,2520
54,"Although the occasional dick, mention sure knows how to keep these political debates alive and exciting. #GOPDebate",0,0.6552,0.3448,441
55,RT mention Lol now the republican love Carson. Racism loves a Black man who submits! Let's stop now #GOPDebate,0,1.0,0.0,1781
56,RT mention We the American people pick the next President of United States not FOX News _Ua14_Uau #GOPDebate  #GOPDebates,0,0.6725,0.3275,5700
57,RT mention Breaking: Brian Williams just handed Chris Christie a donut to calm him down. _Ua14_Uau #GOPDebate #GOPDebates,0,0.6843,0.3157,4314
58,RT mention The Facebook logos on stage during a debate between potential leaders of our nation is chillingly sinister in such a blataU_,0,1.0,0.0,126
59,"RT mention I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, _Ua14_Uau #GOPDebate  #GU_",0,0.7040000000000001,0.29599999999999993,4385
60,"RT mention Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #U_",0,1.0,0.0,1738
61,RT mention only complaint with the political culture of the present: the politics. The culture. And the present. #GOPDebate,0,0.6819,0.31810000000000005,639
62,mention Hates cops. #pensions #FOP #ThinBlueLine #GOPDebate #GOPDebates,0,1.0,0.0,6082
63,"RT mention ""The purpose of the military is to kill people & break things."" - Huckabee in route to being wildly transphobic. #GOPDebate",0,0.7079,0.2921,4158
64,Love how .mention BAITED .mention with women question. Then he gave .mention airtime she couldn't have paid for. #GOPDebate,0,0.6349,0.3651,799
65,"RT mention .mention mention
Cancel the primaries. Fox Party set up & anointed their man Jeb Bush
#GOPDebates #CantTrustABush url",0,1.0,0.0,4257
66,"RT mention Chris Christie, shown here swallowing a fly during Thursday's #GOPDebate #OhGodMakeItStop2015 url",0,1.0,0.0,3992
67,"Did last night really happen, or was it some kind of collective Twitter fever dream? #GOPDebate",0,1.0,0.0,5038
68,"RT mention Great to hear about critical topics like extreme inequality, poverty, climate change, racial justice at the #GOPDebate ... oU_",0,0.7034,0.2966,470
69,"RT mention Dear Dr. Ben Carson, you, Sir need a labotomy #GopDebates",0,0.6429,0.3571,6079
70,So trans soldiers can die for you Huckabee but you can't foot the bill to make them fulfilled as human beings? Really? #GOPDebates,0,1.0,0.0,4666
71,RT mention The candidates don't have to attack mention Fox is doing it for them by stoping him from speaking. _Ua14_Uau #GOPDebateU_,0,0.6421,0.3579,3046
72,which is NOT fair and balanced #GOPDebate,0,1.0,0.0,4386
73,"""I have a real foreign policy question.."" ""Wait, wait, I have this great Hillary Clinton joke."" #GOPDebates",0,1.0,0.0,1916
74,RT mention Fox News is obviously trying to influence the makeup of the Republican field. _Ua14_Uau  #GOPDebate  #GOPDebates,0,1.0,0.0,228
75,RT mention Race was discussed for only seconds. There's the Republican Party for you. #GOPDebate,0,0.6519,0.3481,384
76,#GOPDebate all those men are insane- climate change!!!!!!!!!  url,0,1.0,0.0,3307
77,RT mention .mention have you USED the families of the 9/11 victims enough times for your own benefit? #ComeOn #tcot #GOPdebate #FoU_,0,1.0,0.0,5478
78,"RT mention 2nit's Q&A was a turkey shoot. Kelly and Wallace totally emptied their clips going after mention 

Was Sad!

U_",0,1.0,0.0,3526
79,"Numbnuts! ""mention dedicated < 2min of 2hr debate to Qs about ways black America has been under attack"" #GOPDebate url",0,0.6421,0.3579,4904
80,RT mention The candidates don't have to attack mention Fox is doing it for them by stoping him from speaking. _Ua14_Uau #GOPDebateU_,0,0.6889,0.31110000000000004,1854
81,"RT mention I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, _Ua14_Uau #GOPDebate  #GU_",0,0.6237,0.3763,2844
82,"#gopdebate Trump hates fat people? He should look in the mirror. Poor Chris Christe won't challenge him. Well, you know why. : (",0,0.6742,0.3258,3443
83,".mention
FOX/GOP Party's Hunger Games- Demagog Food-fighter mention
#GOPDebate #morningjoe url",0,0.6517,0.34830000000000005,4156
84,"RT mention From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impoU_",0,1.0,0.0,2570
85,"RT mention Dear Gov Walker, you have nothing to brag about, you fucked your state of Wisconsin and you suck Koch... #BitchAssPoliU_",0,1.0,0.0,2315
86,"RT mention I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair & Balanced"" at all. _Ua14_Uau #GOPDebatU_",0,1.0,0.0,4031
87,"RT mention If Walker, Paul or Huckabee had to meet with Putin or command our armies they'd shit their pants. Not president material. U_",0,1.0,0.0,576
88,#gopdebate Made for great TV. If I was a Repub I'd want Kasich/Rubio (or Fiorina) but I'm not so I don't.,0,0.6824,0.3176,543
89,"RT mention ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP",0,0.6552,0.3448,2593
90,Sorry mention I was not offended by mention ! As a woman I was offended by mention !!! #GOPDebates #KellyFile,0,0.6396,0.3604000000000001,1417
91,RT mention #BATsAsk #GopDebate why does Walker believe busting unions is the same as fighting terrorism? mention,0,0.6363,0.3637,2456
